#{"t_start": 1764983017.8905473, "env_id": "ALE/Pong-v5"}
r,l,t
-21.0,967,3.315817
-21.0,824,4.472225
-21.0,884,5.729856
-21.0,868,7.051249
-21.0,884,8.306464
-21.0,764,9.425946
-21.0,848,10.730951
-21.0,871,12.088541
-21.0,808,13.393844
-21.0,764,14.508627
-21.0,881,15.862958
-20.0,879,15.737949
-19.0,962,17.238003
-20.0,899,18.663946
-21.0,852,21.538546
-21.0,782,25.473208
-21.0,1054,30.811049
-21.0,902,35.350789
-21.0,825,39.294751
-21.0,840,43.345743
-20.0,867,46.26423
-21.0,792,50.080782
-21.0,913,54.458761
-21.0,916,58.816641
-21.0,975,63.592809
-21.0,852,67.713722
-21.0,860,71.974918
-21.0,885,76.221353
-21.0,933,79.168149
-21.0,1011,84.05816
-21.0,884,88.303601
-21.0,885,92.431475
-21.0,824,96.393573
-20.0,861,100.583925
-21.0,882,104.830726
-21.0,824,108.853749
-21.0,879,111.512744
-21.0,852,115.519265
-21.0,812,119.390435
-21.0,820,123.358945
-21.0,853,127.643879
-21.0,826,131.660164
-21.0,764,135.40882
-21.0,844,139.562027
-20.0,891,142.556022
-21.0,945,147.184411
-21.0,958,151.812248
-19.0,976,156.518802
-21.0,810,160.458542
-19.0,1122,165.906081
-21.0,886,170.249295
-20.0,959,173.53416
-19.0,1102,178.980294
-20.0,1059,184.154126
-21.0,826,188.138785
-21.0,843,192.142164
-21.0,812,196.121644
-21.0,873,200.305799
-21.0,974,203.563523
-21.0,792,207.360157
-21.0,884,211.52608
-20.0,951,216.036585
-20.0,925,220.537418
-21.0,843,224.596345
-21.0,764,228.225501
-20.0,907,231.228969
-20.0,1089,236.614688
-21.0,764,240.27518
-21.0,792,244.110228
-21.0,764,247.912449
-20.0,958,252.629172
-21.0,918,257.310348
-20.0,921,261.7315
-21.0,824,264.357032
-21.0,974,269.175923
-21.0,826,273.461488
-21.0,872,277.912597
-20.0,871,282.426223
-21.0,975,287.393329
-21.0,933,291.885645
-21.0,951,295.104726
-20.0,1040,300.191462
-21.0,820,304.32142
-21.0,884,308.619829
-21.0,792,312.559686
-20.0,1043,317.713126
-21.0,792,321.489575
-21.0,812,324.103004
-21.0,904,328.686042
-21.0,973,333.604631
-21.0,1084,338.974193
-19.0,985,344.003711
-21.0,1027,349.188656
-21.0,912,353.82755
-21.0,783,356.250329
-21.0,824,360.252121
-21.0,862,364.495282
-21.0,885,368.780095
-21.0,783,372.702299
-21.0,880,377.110427
-20.0,1165,382.830676
-19.0,1211,387.349243
-21.0,934,391.973542
-21.0,1007,397.196303
-21.0,1093,402.510938
-21.0,886,406.824881
-21.0,764,410.555614
-21.0,1005,415.519699
-20.0,931,418.580003
-21.0,992,423.561781
-21.0,1039,428.718745
-21.0,1000,433.578761
-21.0,764,437.450512
-18.0,1184,443.2585
-21.0,881,447.591874
-21.0,907,450.966007
-21.0,1055,456.508186
-20.0,1010,461.584506
-21.0,973,466.765815
-21.0,1059,472.091452
-21.0,1143,478.395707
-19.0,1132,482.737932
-21.0,1009,488.180155
-20.0,1042,493.440048
-21.0,1009,498.375622
-21.0,916,502.962911
-20.0,1096,508.485675
-21.0,912,511.54494
-20.0,1019,516.685436
-21.0,946,521.360542
-21.0,1005,526.742783
-21.0,909,531.835999
-20.0,1043,537.122819
-20.0,1060,541.057811
-21.0,1184,547.122735
-20.0,1042,552.408161
-21.0,944,557.187141
-20.0,1083,562.85113
-21.0,783,566.779208
-21.0,870,571.145733
-20.0,940,574.359312
-20.0,837,579.029737
-21.0,940,584.092424
-21.0,884,588.560931
-21.0,764,592.341101
-21.0,1052,597.545935
-19.0,1029,601.192558
-21.0,903,605.652641
-19.0,1063,611.03757
-19.0,1117,616.697059
-20.0,1048,621.974885
-21.0,885,626.38728
-20.0,1025,631.467473
-21.0,943,634.689623
-19.0,1055,639.959968
-21.0,1053,645.234085
-19.0,1157,651.052923
-21.0,994,655.977556
-21.0,912,660.667966
-21.0,1126,664.82447
-21.0,1005,669.903086
-21.0,824,673.965852
-20.0,921,678.506424
-21.0,1142,684.186064
-19.0,1031,689.363135
-20.0,1093,693.996873
-19.0,994,700.455297
-20.0,1064,706.207229
-20.0,933,711.030352
-17.0,1320,717.896019
-19.0,1227,724.02382
-20.0,1250,729.002481
-21.0,1126,734.773649
-21.0,940,739.606002
-21.0,824,743.710682
-21.0,1033,748.749118
-21.0,1096,754.231225
-21.0,912,757.268086
-20.0,1009,762.406289
-21.0,912,766.92737
-20.0,897,771.373743
-20.0,961,776.15081
-19.0,1162,781.959726
-20.0,987,786.807999
-20.0,1245,791.762759
-20.0,1054,797.068117
-19.0,1070,802.472203
-21.0,1026,807.651022
-21.0,946,812.256493
-21.0,1084,817.591156
-21.0,884,820.612234
-19.0,1165,826.332574
-18.0,1191,832.35254
-21.0,1064,837.740506
-20.0,949,842.617656
-19.0,1166,848.414453
-20.0,1026,852.024437
-19.0,1146,857.885278
-21.0,1098,863.500696
-19.0,1005,868.412614
-19.0,1033,873.628919
-21.0,1052,877.948041
-21.0,1323,884.627835
-19.0,1224,890.787643
-21.0,993,895.824211
-21.0,1183,901.660031
-20.0,1036,906.880995
-20.0,985,910.43224
-21.0,855,914.816317
-20.0,1224,921.312261
-21.0,983,926.322841
-20.0,1172,932.230805
-20.0,1031,937.759596
-20.0,1111,942.213149
-20.0,1230,948.966611
-19.0,1080,954.740327
-21.0,922,959.463324
-21.0,1065,964.933619
-21.0,962,972.135588
-20.0,1091,978.108959
-20.0,1007,983.390874
-20.0,979,988.509677
-19.0,1260,995.574653
-19.0,1424,1001.949407
-15.0,1739,1011.053361
-20.0,959,1016.025482
-17.0,1437,1023.4211
-21.0,1115,1029.185889
-19.0,1085,1033.237372
-19.0,1027,1038.43255
-19.0,1243,1044.888274
-18.0,1234,1052.094959
-19.0,1063,1058.086294
-19.0,1299,1063.699521
-19.0,1131,1070.225161
-17.0,1385,1079.063162
-19.0,1111,1087.83028
-20.0,1029,1094.198062
-14.0,1559,1106.427877
