#{"t_start": 1762904245.0357819, "env_id": "None"}
r,l,t
-21.0,216,2.652141
-21.0,218,3.353239
-21.0,192,3.781528
-21.0,191,4.22328
-21.0,250,5.883361
-21.0,198,7.709436
-20.0,267,10.785351
-20.0,254,13.435643
-21.0,203,15.995827
-21.0,245,18.63456
-21.0,191,20.897138
-21.0,207,22.773287
-21.0,210,25.365166
-21.0,202,27.77551
-21.0,199,31.519197
-21.0,208,34.891646
-21.0,212,40.37631
-21.0,185,45.193896
-21.0,211,49.161129
-21.0,223,51.995264
-21.0,201,54.786028
-21.0,218,57.599111
-21.0,205,60.682546
-21.0,228,66.066369
-21.0,189,69.996643
-21.0,185,75.014273
-21.0,188,80.73086
-21.0,189,86.466934
-21.0,216,89.022903
-21.0,200,91.942893
-21.0,188,95.845392
-21.0,202,98.259979
-21.0,203,101.219142
-21.0,220,104.879407
-21.0,182,109.03958
-21.0,186,114.00163
-21.0,203,117.236136
-21.0,191,121.729962
-21.0,196,125.615912
-21.0,187,128.801787
-21.0,192,132.444774
-21.0,201,135.181593
-21.0,187,137.66897
-21.0,229,142.254526
-20.0,217,145.307727
-21.0,222,148.18038
-21.0,188,150.749464
-21.0,202,154.352735
-21.0,187,156.908375
-21.0,209,160.071428
-21.0,183,162.73085
-21.0,189,165.793048
-21.0,200,168.371811
-21.0,189,171.584702
-21.0,189,173.701404
-21.0,209,176.603643
-21.0,185,179.69517
-21.0,186,182.229401
-21.0,219,185.784942
-21.0,182,188.929684
-21.0,197,193.010344
-21.0,216,196.082411
-21.0,184,199.957555
-21.0,203,203.827343
-21.0,188,207.931398
-21.0,183,211.626489
-21.0,209,215.51877
-21.0,198,219.457156
-21.0,184,222.838615
-21.0,186,226.215438
-21.0,202,230.431948
-21.0,183,233.364775
-21.0,186,236.486764
-21.0,182,239.789818
-21.0,183,242.744454
-21.0,185,245.885571
-21.0,187,250.643599
-21.0,185,253.658475
-21.0,187,257.195747
-21.0,187,259.714856
-21.0,184,262.584409
-21.0,182,265.576142
-21.0,183,268.748218
-21.0,186,272.032544
-21.0,188,275.428694
-21.0,188,278.823506
-21.0,183,282.09102
-21.0,184,285.441099
-21.0,188,288.463146
-21.0,202,292.996547
-21.0,186,297.691132
-21.0,218,302.023221
-21.0,186,304.854884
-21.0,186,307.935716
-21.0,222,312.587022
-21.0,217,315.843715
-21.0,186,318.953455
-21.0,184,321.950241
-21.0,215,325.141761
-21.0,204,328.141752
-21.0,191,332.138696
-21.0,182,335.108343
-21.0,186,338.419539
-21.0,193,341.226139
-21.0,189,343.83443
-21.0,185,346.564317
-21.0,184,349.310242
-21.0,199,352.894301
-21.0,192,355.73148
-21.0,217,358.918958
-21.0,203,363.156186
-21.0,186,366.608912
-21.0,185,372.505683
-21.0,187,375.872907
-21.0,215,380.078077
-21.0,189,383.629248
-21.0,198,389.32808
-21.0,203,393.920489
-21.0,234,397.2204
-21.0,230,400.65831
-21.0,188,403.147163
-21.0,187,406.371146
-21.0,187,409.439539
-21.0,182,411.886685
-21.0,202,416.155287
-21.0,187,418.991572
-21.0,215,422.767113
-21.0,186,426.292008
-21.0,183,430.407421
-21.0,189,433.691012
-21.0,201,437.635716
-21.0,187,441.437462
-21.0,189,444.96137
-21.0,191,448.894112
-21.0,187,452.180947
-21.0,186,455.422713
-21.0,185,459.245471
-21.0,188,462.788472
-21.0,185,465.476434
-21.0,201,469.092014
-21.0,214,472.952282
