A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Episode    1/100 | return=-21.00 | len= 946 | eps=0.997 | loss=0.00000 | steps=946
Episode    2/100 | return=-21.00 | len= 915 | eps=0.994 | loss=0.02111 | steps=1861
Episode    3/100 | return=-20.00 | len= 921 | eps=0.991 | loss=0.02165 | steps=2782
Episode    4/100 | return=-19.00 | len= 951 | eps=0.987 | loss=0.02153 | steps=3733
Episode    5/100 | return=-21.00 | len= 944 | eps=0.984 | loss=0.02232 | steps=4677
Episode    6/100 | return=-20.00 | len= 948 | eps=0.981 | loss=0.02159 | steps=5625
Episode    7/100 | return=-20.00 | len= 950 | eps=0.978 | loss=0.02112 | steps=6575
Episode    8/100 | return=-21.00 | len= 852 | eps=0.975 | loss=0.02095 | steps=7427
Episode    9/100 | return=-19.00 | len= 980 | eps=0.972 | loss=0.01651 | steps=8407
Episode   10/100 | return=-20.00 | len=1046 | eps=0.968 | loss=0.01484 | steps=9453
Episode   11/100 | return=-20.00 | len= 949 | eps=0.965 | loss=0.01381 | steps=10402
Episode   12/100 | return=-21.00 | len= 852 | eps=0.962 | loss=0.01186 | steps=11254
Episode   13/100 | return=-21.00 | len= 862 | eps=0.959 | loss=0.01083 | steps=12116
Episode   14/100 | return=-20.00 | len=1009 | eps=0.956 | loss=0.01159 | steps=13125
Episode   15/100 | return=-21.00 | len= 929 | eps=0.953 | loss=0.01108 | steps=14054
Episode   16/100 | return=-20.00 | len= 870 | eps=0.949 | loss=0.01190 | steps=14924
Episode   17/100 | return=-19.00 | len= 992 | eps=0.946 | loss=0.01165 | steps=15916
Episode   18/100 | return=-21.00 | len= 824 | eps=0.943 | loss=0.01137 | steps=16740
Episode   19/100 | return=-21.00 | len= 870 | eps=0.940 | loss=0.01129 | steps=17610
Episode   20/100 | return=-21.00 | len= 890 | eps=0.937 | loss=0.01015 | steps=18500
Episode   21/100 | return=-20.00 | len= 843 | eps=0.933 | loss=0.01006 | steps=19343
Episode   22/100 | return=-18.00 | len=1112 | eps=0.930 | loss=0.01035 | steps=20455
Episode   23/100 | return=-20.00 | len= 948 | eps=0.927 | loss=0.01191 | steps=21403
Episode   24/100 | return=-19.00 | len= 972 | eps=0.924 | loss=0.01139 | steps=22375
Episode   25/100 | return=-21.00 | len= 972 | eps=0.921 | loss=0.01016 | steps=23347
  Eval over 3 eps: mean_return=-21.00 ± 0.00
  Saved checkpoint to dqn_pong.pt
Episode   26/100 | return=-20.00 | len= 948 | eps=0.918 | loss=0.01188 | steps=24295
Episode   27/100 | return=-21.00 | len= 855 | eps=0.914 | loss=0.01054 | steps=25150
Episode   28/100 | return=-20.00 | len=1111 | eps=0.911 | loss=0.01024 | steps=26261
Episode   29/100 | return=-21.00 | len= 933 | eps=0.908 | loss=0.01026 | steps=27194
Episode   30/100 | return=-21.00 | len= 844 | eps=0.905 | loss=0.01049 | steps=28038
Episode   31/100 | return=-19.00 | len= 933 | eps=0.902 | loss=0.00951 | steps=28971
Episode   32/100 | return=-21.00 | len= 853 | eps=0.899 | loss=0.01038 | steps=29824
Episode   33/100 | return=-21.00 | len= 880 | eps=0.895 | loss=0.00889 | steps=30704
Episode   34/100 | return=-21.00 | len= 882 | eps=0.892 | loss=0.00825 | steps=31586
Episode   35/100 | return=-20.00 | len= 884 | eps=0.889 | loss=0.00769 | steps=32470
