A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Episode    1/500 | return=  0.00 | len=  50 | eps=0.997 | loss=0.00053
Episode    2/500 | return=  0.00 | len=  50 | eps=0.994 | loss=0.00003
Episode    3/500 | return=  0.00 | len=  50 | eps=0.991 | loss=0.00000
Episode    4/500 | return=  0.00 | len=  50 | eps=0.989 | loss=0.00000
Episode    5/500 | return=  0.00 | len=  50 | eps=0.986 | loss=0.00000
Episode    6/500 | return=  0.00 | len=  50 | eps=0.983 | loss=0.00000
Episode    7/500 | return=  0.00 | len=  50 | eps=0.980 | loss=0.00000
Episode    8/500 | return=  0.00 | len=  50 | eps=0.977 | loss=0.00000
Episode    9/500 | return=  0.00 | len=  50 | eps=0.975 | loss=0.00000
Episode   10/500 | return=  0.00 | len=  50 | eps=0.972 | loss=0.00000
Episode   11/500 | return=  0.00 | len=  50 | eps=0.969 | loss=0.00000
Episode   12/500 | return=  0.00 | len=  50 | eps=0.966 | loss=0.00000
Episode   13/500 | return=  0.00 | len=  50 | eps=0.964 | loss=0.00000
Episode   14/500 | return=  0.00 | len=  50 | eps=0.961 | loss=0.00000
Episode   15/500 | return=  0.00 | len=  50 | eps=0.958 | loss=0.00002
Episode   16/500 | return=  0.00 | len=  50 | eps=0.955 | loss=0.00001
Episode   17/500 | return=  0.00 | len=  50 | eps=0.953 | loss=0.00001
Episode   18/500 | return=  0.00 | len=  50 | eps=0.950 | loss=0.00000
Episode   19/500 | return=  0.00 | len=  50 | eps=0.947 | loss=0.00001
Episode   20/500 | return=  0.00 | len=  50 | eps=0.945 | loss=0.00001
Episode   21/500 | return=  0.00 | len=  50 | eps=0.942 | loss=0.00002
Episode   22/500 | return=  0.00 | len=  50 | eps=0.939 | loss=0.00000
Episode   23/500 | return=  0.00 | len=  50 | eps=0.937 | loss=0.00000
Episode   24/500 | return=  0.00 | len=  50 | eps=0.934 | loss=0.00000
Episode   25/500 | return=  0.00 | len=  50 | eps=0.931 | loss=0.00000
  Eval over 5 eps: mean_return=0.00 ± 0.00
  Saved checkpoint to sarsa_pong.pt
Episode   26/500 | return=  0.00 | len=  50 | eps=0.929 | loss=0.00000
Episode   27/500 | return=  0.00 | len=  50 | eps=0.926 | loss=0.00000
Episode   28/500 | return=  0.00 | len=  50 | eps=0.923 | loss=0.00000
Episode   29/500 | return=  0.00 | len=  50 | eps=0.921 | loss=0.00000
Episode   30/500 | return=  0.00 | len=  50 | eps=0.918 | loss=0.00001
Episode   31/500 | return=  0.00 | len=  50 | eps=0.916 | loss=0.00000
Episode   32/500 | return=  0.00 | len=  50 | eps=0.913 | loss=0.00000
Episode   33/500 | return=  0.00 | len=  50 | eps=0.910 | loss=0.00001
Episode   34/500 | return=  0.00 | len=  50 | eps=0.908 | loss=0.00000
Episode   35/500 | return=  0.00 | len=  50 | eps=0.905 | loss=0.00000
Episode   36/500 | return=  0.00 | len=  50 | eps=0.903 | loss=0.00000
Episode   37/500 | return=  0.00 | len=  50 | eps=0.900 | loss=0.00000
Episode   38/500 | return=  0.00 | len=  50 | eps=0.897 | loss=0.00000
Episode   39/500 | return=  0.00 | len=  50 | eps=0.895 | loss=0.00000
Episode   40/500 | return=  0.00 | len=  50 | eps=0.892 | loss=0.00000
Episode   41/500 | return=  0.00 | len=  50 | eps=0.890 | loss=0.00000
Episode   42/500 | return=  0.00 | len=  50 | eps=0.887 | loss=0.00000
Episode   43/500 | return=  0.00 | len=  50 | eps=0.885 | loss=0.00000
Episode   44/500 | return=  0.00 | len=  50 | eps=0.882 | loss=0.00000
Episode   45/500 | return=  0.00 | len=  50 | eps=0.880 | loss=0.00000
Episode   46/500 | return=  0.00 | len=  50 | eps=0.877 | loss=0.00000
Episode   47/500 | return=  0.00 | len=  50 | eps=0.875 | loss=0.00000
Episode   48/500 | return=  0.00 | len=  50 | eps=0.872 | loss=0.00000
Episode   49/500 | return=  0.00 | len=  50 | eps=0.870 | loss=0.00000
Episode   50/500 | return=  0.00 | len=  50 | eps=0.867 | loss=0.00000
  Eval over 5 eps: mean_return=0.00 ± 0.00
Episode   51/500 | return=  0.00 | len=  50 | eps=0.865 | loss=0.00000
Episode   52/500 | return=  0.00 | len=  50 | eps=0.863 | loss=0.00000
Episode   53/500 | return=  0.00 | len=  50 | eps=0.860 | loss=0.00000
Episode   54/500 | return=  0.00 | len=  50 | eps=0.858 | loss=0.00000
Episode   55/500 | return=  0.00 | len=  50 | eps=0.855 | loss=0.00000
Episode   56/500 | return=  0.00 | len=  50 | eps=0.853 | loss=0.00000
Episode   57/500 | return=  0.00 | len=  50 | eps=0.850 | loss=0.00000
Episode   58/500 | return=  0.00 | len=  50 | eps=0.848 | loss=0.00001
Episode   59/500 | return=  0.00 | len=  50 | eps=0.846 | loss=0.00004
Episode   60/500 | return=  0.00 | len=  50 | eps=0.843 | loss=0.00005
Episode   61/500 | return=  0.00 | len=  50 | eps=0.841 | loss=0.00000
Episode   62/500 | return=  0.00 | len=  50 | eps=0.839 | loss=0.00000
Episode   63/500 | return=  0.00 | len=  50 | eps=0.836 | loss=0.00000
Episode   64/500 | return=  0.00 | len=  50 | eps=0.834 | loss=0.00000
Episode   65/500 | return=  0.00 | len=  50 | eps=0.831 | loss=0.00000
Episode   66/500 | return=  0.00 | len=  50 | eps=0.829 | loss=0.00000
Episode   67/500 | return=  0.00 | len=  50 | eps=0.827 | loss=0.00000
Episode   68/500 | return=  0.00 | len=  50 | eps=0.824 | loss=0.00000
Episode   69/500 | return=  0.00 | len=  50 | eps=0.822 | loss=0.00000
Episode   70/500 | return=  0.00 | len=  50 | eps=0.820 | loss=0.00000
Episode   71/500 | return=  0.00 | len=  50 | eps=0.818 | loss=0.00000
Episode   72/500 | return=  0.00 | len=  50 | eps=0.815 | loss=0.00000
Episode   73/500 | return=  0.00 | len=  50 | eps=0.813 | loss=0.00000
Episode   74/500 | return=  0.00 | len=  50 | eps=0.811 | loss=0.00000
Episode   75/500 | return=  0.00 | len=  50 | eps=0.808 | loss=0.00000
  Eval over 5 eps: mean_return=0.00 ± 0.00
Episode   76/500 | return=  0.00 | len=  50 | eps=0.806 | loss=0.00000
Episode   77/500 | return=  0.00 | len=  50 | eps=0.804 | loss=0.00000
Episode   78/500 | return=  0.00 | len=  50 | eps=0.802 | loss=0.00000
Episode   79/500 | return=  0.00 | len=  50 | eps=0.799 | loss=0.00000
Episode   80/500 | return=  0.00 | len=  50 | eps=0.797 | loss=0.00000
Episode   81/500 | return=  0.00 | len=  50 | eps=0.795 | loss=0.00000
Episode   82/500 | return=  0.00 | len=  50 | eps=0.793 | loss=0.00000
Episode   83/500 | return=  0.00 | len=  50 | eps=0.790 | loss=0.00000
Episode   84/500 | return=  0.00 | len=  50 | eps=0.788 | loss=0.00000
Episode   85/500 | return=  0.00 | len=  50 | eps=0.786 | loss=0.00000
Episode   86/500 | return=  0.00 | len=  50 | eps=0.784 | loss=0.00000
Episode   87/500 | return=  0.00 | len=  50 | eps=0.781 | loss=0.00000
Episode   88/500 | return=  0.00 | len=  50 | eps=0.779 | loss=0.00000
Episode   89/500 | return=  0.00 | len=  50 | eps=0.777 | loss=0.00000
Episode   90/500 | return=  0.00 | len=  50 | eps=0.775 | loss=0.00000
Episode   91/500 | return=  0.00 | len=  50 | eps=0.773 | loss=0.00000
Episode   92/500 | return=  0.00 | len=  50 | eps=0.771 | loss=0.00000
Episode   93/500 | return=  0.00 | len=  50 | eps=0.768 | loss=0.00000
Episode   94/500 | return=  0.00 | len=  50 | eps=0.766 | loss=0.00000
Episode   95/500 | return=  0.00 | len=  50 | eps=0.764 | loss=0.00000
Episode   96/500 | return=  0.00 | len=  50 | eps=0.762 | loss=0.00000
