A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
Episode    1/500 | return=-21.00 | len= 946 | eps=0.997 | loss=0.02251
Episode    2/500 | return=-20.00 | len=1071 | eps=0.994 | loss=0.02052
Episode    3/500 | return=-20.00 | len= 919 | eps=0.991 | loss=0.02410
Episode    4/500 | return=-21.00 | len= 872 | eps=0.989 | loss=0.02347
Episode    5/500 | return=-21.00 | len= 825 | eps=0.986 | loss=0.02444
Episode    6/500 | return=-20.00 | len= 866 | eps=0.983 | loss=0.02535
Episode    7/500 | return=-20.00 | len= 984 | eps=0.980 | loss=0.02213
Episode    8/500 | return=-19.00 | len=1089 | eps=0.977 | loss=0.02134
Episode    9/500 | return=-21.00 | len= 826 | eps=0.975 | loss=0.02480
Episode   10/500 | return=-19.00 | len=1004 | eps=0.972 | loss=0.02242
Episode   11/500 | return=-20.00 | len= 878 | eps=0.969 | loss=0.02429
Episode   12/500 | return=-20.00 | len= 838 | eps=0.966 | loss=0.02572
Episode   13/500 | return=-20.00 | len= 945 | eps=0.964 | loss=0.02248
Episode   14/500 | return=-21.00 | len= 764 | eps=0.961 | loss=0.02655
Episode   15/500 | return=-21.00 | len= 852 | eps=0.958 | loss=0.02395
Episode   16/500 | return=-19.00 | len=1022 | eps=0.955 | loss=0.02206
Episode   17/500 | return=-21.00 | len= 900 | eps=0.953 | loss=0.02256
Episode   18/500 | return=-21.00 | len= 992 | eps=0.950 | loss=0.02022
Episode   19/500 | return=-21.00 | len= 850 | eps=0.947 | loss=0.02402
Episode   20/500 | return=-19.00 | len=1037 | eps=0.945 | loss=0.02187
Episode   21/500 | return=-20.00 | len= 917 | eps=0.942 | loss=0.02313
Episode   22/500 | return=-20.00 | len=1012 | eps=0.939 | loss=0.02105
Episode   23/500 | return=-20.00 | len= 842 | eps=0.937 | loss=0.02500
Episode   24/500 | return=-19.00 | len=1041 | eps=0.934 | loss=0.02156
Episode   25/500 | return=-19.00 | len=1037 | eps=0.931 | loss=0.02157
  Eval over 5 eps: mean_return=-21.00 ± 0.00
  Saved checkpoint to sarsa_pong.pt
Episode   26/500 | return=-20.00 | len= 916 | eps=0.929 | loss=0.02300
Episode   27/500 | return=-21.00 | len= 854 | eps=0.926 | loss=0.02378
Episode   28/500 | return=-20.00 | len= 917 | eps=0.923 | loss=0.02290
Episode   29/500 | return=-21.00 | len= 886 | eps=0.921 | loss=0.02256
Episode   30/500 | return=-21.00 | len= 826 | eps=0.918 | loss=0.02392
Episode   31/500 | return=-19.00 | len=1063 | eps=0.916 | loss=0.02105
Episode   32/500 | return=-21.00 | len= 824 | eps=0.913 | loss=0.02448
Episode   33/500 | return=-21.00 | len= 845 | eps=0.910 | loss=0.02386
Episode   34/500 | return=-21.00 | len= 933 | eps=0.908 | loss=0.02129
Episode   35/500 | return=-20.00 | len= 983 | eps=0.905 | loss=0.02152
Episode   36/500 | return=-19.00 | len= 967 | eps=0.903 | loss=0.02283
Episode   37/500 | return=-21.00 | len= 974 | eps=0.900 | loss=0.02058
Episode   38/500 | return=-21.00 | len= 764 | eps=0.897 | loss=0.02616
